id,latitude,longitude,depth_cm,date,time,location_name,source,source_reference,original_value,unit,observation_type,verification_status,confidence,notes
NRSC_001,,,137.16,2015-12-01,,Teynampet (Alamman Kovil Street),NRSC/ISRO report,Annexure 1,4.5,feet,field_survey,field-survey report; coordinates not provided in Annexure 1,high,Field survey data. Coordinates not provided in Annexure.
NRSC_002,,,60.96,2015-12-02,,Arumbakkam (Post Office Street),NRSC/ISRO report,Annexure 1,2.0,feet,field_survey,field-survey report; coordinates not provided in Annexure 1,high,Field survey data. Coordinates not provided in Annexure.
NRSC_003,,,137.16,2015-12-02,,Ashok Nagar (Taurus Apartments),NRSC/ISRO report,Annexure 1,4.5,feet,field_survey,field-survey report; coordinates not provided in Annexure 1,high,Field survey data. Coordinates not provided in Annexure.
NRSC_004,,,365.76,2015-12-01,,Jafferkhanpet (Bridge),NRSC/ISRO report,Annexure 1,12.0,feet,field_survey,field-survey report; coordinates not provided in Annexure 1,high,Field survey data. Coordinates not provided in Annexure.
NRSC_005,,,76.2,2015-12-01,,VGP Selvanagar Extn (Plot 79),NRSC/ISRO report,Annexure 1,2.5,feet,field_survey,field-survey report; coordinates not provided in Annexure 1,high,Field survey data. Coordinates not provided in Annexure.
NRSC_006,,,137.16,2015-12-01,,"Anna Nagar (Venus Colony, Plot-1)",NRSC/ISRO report,Annexure 1,4.5,feet,field_survey,field-survey report; coordinates not provided in Annexure 1,high,Field survey data. Coordinates not provided in Annexure.
NRSC_007,,,91.44,2015-12-01,,Annai Indranagar (Vanchinathan Street),NRSC/ISRO report,Annexure 1,3.0,feet,field_survey,field-survey report; coordinates not provided in Annexure 1,high,Field survey data. Coordinates not provided in Annexure.
NRSC_008,,,91.44,2015-12-01,,Tharamani (Babynagar),NRSC/ISRO report,Annexure 1,3.0,feet,field_survey,field-survey report; coordinates not provided in Annexure 1,high,Field survey data. Coordinates not provided in Annexure.
NRSC_009,,,30.48,2015-12-01,,Adyar (Antariksha Vihar),NRSC/ISRO report,Annexure 1,1.0,feet,field_survey,field-survey report; coordinates not provided in Annexure 1,high,Field survey data. Coordinates not provided in Annexure.
NRSC_010,,,106.68,2015-12-01,,Nandanam (Turn Bulls Street),NRSC/ISRO report,Annexure 1,3.5,feet,field_survey,field-survey report; coordinates not provided in Annexure 1,high,Field survey data. Coordinates not provided in Annexure.
NRSC_011,,,304.8,2015-12-02,,West Mambalam (Arangnathan Subway),NRSC/ISRO report,Annexure 1,10.0,feet,field_survey,field-survey report; coordinates not provided in Annexure 1,high,Field survey data. Coordinates not provided in Annexure.
NRSC_012,,,30.48,2015-12-01,,Thousand Lights (Middle School),NRSC/ISRO report,Annexure 1,1.0,feet,field_survey,field-survey report; coordinates not provided in Annexure 1,high,Field survey data. Coordinates not provided in Annexure.
NRSC_013,,,91.44,2015-12-01,,Thousand lights (Police Quarters),NRSC/ISRO report,Annexure 1,3.0,feet,field_survey,field-survey report; coordinates not provided in Annexure 1,high,Field survey data. Coordinates not provided in Annexure.
NRSC_014,,,76.2,2015-12-01,,Choolaimedu,NRSC/ISRO report,Annexure 1,2.5,feet,field_survey,field-survey report; coordinates not provided in Annexure 1,high,Field survey data. Coordinates not provided in Annexure.
NRSC_015,,,60.96,2015-12-01,,Anna Nagar (Shanti Colony),NRSC/ISRO report,Annexure 1,2.0,feet,field_survey,field-survey report; coordinates not provided in Annexure 1,high,Field survey data. Coordinates not provided in Annexure.
NRSC_016,,,45.72,2015-12-01,,Thirumullaivoyal (KK Nagar),NRSC/ISRO report,Annexure 1,1.5,feet,field_survey,field-survey report; coordinates not provided in Annexure 1,high,Field survey data. Coordinates not provided in Annexure.
NRSC_017,,,60.96,2015-12-03,,Sholinganallur (Anna Street),NRSC/ISRO report,Annexure 1,2.0,feet,field_survey,field-survey report; coordinates not provided in Annexure 1,high,Field survey data. Coordinates not provided in Annexure.
NRSC_018,,,45.72,2015-12-02,,Vyasarpadi,NRSC/ISRO report,Annexure 1,1.5,feet,field_survey,field-survey report; coordinates not provided in Annexure 1,high,Field survey data. Coordinates not provided in Annexure.
NRSC_019,,,106.68,2015-12-03,,Thoraipakkam (Vinay Nagar),NRSC/ISRO report,Annexure 1,3.5,feet,field_survey,field-survey report; coordinates not provided in Annexure 1,high,Field survey data. Coordinates not provided in Annexure.
NRSC_020,,,60.96,2015-12-03,,Sholinganallur (Sacred Heart School),NRSC/ISRO report,Annexure 1,2.0,feet,field_survey,field-survey report; coordinates not provided in Annexure 1,high,Field survey data. Coordinates not provided in Annexure.
NRSC_021,,,182.88,2015-11-16,,OMR Rajiv Gandhi Salai (Satyabhama University),NRSC/ISRO report,Annexure 1,6.0,feet,field_survey,field-survey report; coordinates not provided in Annexure 1,high,Field survey data. Coordinates not provided in Annexure.
NRSC_022,,,182.88,2015-11-16,,OMR Road,NRSC/ISRO report,Annexure 1,6.0,feet,field_survey,field-survey report; coordinates not provided in Annexure 1,high,Field survey data. Coordinates not provided in Annexure.
NRSC_023,,,100.584,2015-12-01,,Mambakkam,NRSC/ISRO report,Annexure 1,3.3,feet,field_survey,field-survey report; coordinates not provided in Annexure 1,high,Field survey data. Coordinates not provided in Annexure.
NRSC_024,,,167.64,2015-12-02,,Ekkaduthangal (Jawahar Nehru Street),NRSC/ISRO report,Annexure 1,5.5,feet,field_survey,field-survey report; coordinates not provided in Annexure 1,high,Field survey data. Coordinates not provided in Annexure.
NRSC_025,,,213.36,2015-12-03,,Samayapurathu Mariamman,NRSC/ISRO report,Annexure 1,7.0,feet,field_survey,field-survey report; coordinates not provided in Annexure 1,high,Field survey data. Coordinates not provided in Annexure.
NRSC_026,,,198.12,2015-12-01,,Saidapet (Salavaiyalar Colony),NRSC/ISRO report,Annexure 1,6.5,feet,field_survey,field-survey report; coordinates not provided in Annexure 1,high,Field survey data. Coordinates not provided in Annexure.
NRSC_027,,,320.04,2015-12-01,,Kotturpuram (Muthumariamna Kovil Street),NRSC/ISRO report,Annexure 1,10.5,feet,field_survey,field-survey report; coordinates not provided in Annexure 1,high,Field survey data. Coordinates not provided in Annexure.
NRSC_028,,,30.48,2015-12-01,,Valsaravakkam (Kamraj Street),NRSC/ISRO report,Annexure 1,1.0,feet,field_survey,field-survey report; coordinates not provided in Annexure 1,high,Field survey data. Coordinates not provided in Annexure.
NRSC_029,,,350.52,2015-12-01,,Manapakkam (SRCM Hqtrs),NRSC/ISRO report,Annexure 1,11.5,feet,field_survey,field-survey report; coordinates not provided in Annexure 1,high,Field survey data. Coordinates not provided in Annexure.
NRSC_030,,,106.68,2015-12-01,,Chrompet (Radha Nagar),NRSC/ISRO report,Annexure 1,3.5,feet,field_survey,field-survey report; coordinates not provided in Annexure 1,high,Field survey data. Coordinates not provided in Annexure.
NRSC_031,,,182.88,2015-12-01,,Vardharajapuram (Krishna Nagar),NRSC/ISRO report,Annexure 1,6.0,feet,field_survey,field-survey report; coordinates not provided in Annexure 1,high,Field survey data. Coordinates not provided in Annexure.
NRSC_032,,,137.16,2015-12-01,,Anna Nagar (Venus Colony Plot 30),NRSC/ISRO report,Annexure 1,4.5,feet,field_survey,field-survey report; coordinates not provided in Annexure 1,high,Field survey data. Coordinates not provided in Annexure.
NRSC_033,,,76.2,2015-12-01,,Tharamani (Bharathi Nagar),NRSC/ISRO report,Annexure 1,2.5,feet,field_survey,field-survey report; coordinates not provided in Annexure 1,high,Field survey data. Coordinates not provided in Annexure.
NRSC_034,,,167.64,2015-12-01,,T Nagar (Thomas Road),NRSC/ISRO report,Annexure 1,5.5,feet,field_survey,field-survey report; coordinates not provided in Annexure 1,high,Field survey data. Coordinates not provided in Annexure.
NRSC_035,,,76.2,2015-12-01,,Vandalur (Mooggambigai Koil Street),NRSC/ISRO report,Annexure 1,2.5,feet,field_survey,field-survey report; coordinates not provided in Annexure 1,high,Field survey data. Coordinates not provided in Annexure.
NRSC_036,,,167.64,2015-12-01,,Mudichur,NRSC/ISRO report,Annexure 1,5.5,feet,field_survey,field-survey report; coordinates not provided in Annexure 1,high,Field survey data. Coordinates not provided in Annexure.
NRSC_037,,,30.48,2015-12-01,,Mannivakalam,NRSC/ISRO report,Annexure 1,1.0,feet,field_survey,field-survey report; coordinates not provided in Annexure 1,high,Field survey data. Coordinates not provided in Annexure.
NRSC_038,,,213.36,2015-12-01,,Echankadu (Anna Nagar),NRSC/ISRO report,Annexure 1,7.0,feet,field_survey,field-survey report; coordinates not provided in Annexure 1,high,Field survey data. Coordinates not provided in Annexure.
NRSC_039,,,152.4,2015-12-02,,Thandalam,NRSC/ISRO report,Annexure 1,5.0,feet,field_survey,field-survey report; coordinates not provided in Annexure 1,high,Field survey data. Coordinates not provided in Annexure.
