segment_id,latitude,longitude,road_class,elevation_ground_m,terrain_slope_m_per_m,effective_drain_capacity_cumecs,source_way_id,source_highway_class,source_dem_tile,source_dem_grid_idx,source_drain_id,source_drain_type,source_drain_dist_m,source_pipe_diameter_m
CHN_SEG_00001,12.984057,80.215497,street,6.0,0.036929,0.7434,way/206673870,residential,N12E080.hgt,"(57,776)",way/103716694,canal,255.1,0.6
CHN_SEG_00002,12.973761,80.200549,street,10.0,0.036928,0.4833,way/30596872,residential,N12E080.hgt,"(94,722)",way/328358961,drain,599.5,0.6
CHN_SEG_00003,13.030962,80.26062,street_limited,9.0,0.032392,0.8315,way/27643180,living_street,N13E080.hgt,"(3489,938)",way/1492152598,canal,113.1,0.6
CHN_SEG_00004,12.914522,80.156166,street,20.0,0.048588,0.2215,way/208361185,residential,N12E080.hgt,"(308,562)",way/620705900,canal,1333.7,0.6
CHN_SEG_00005,13.067577,80.208711,street,10.0,0.066877,0.5387,way/69610256,primary,N13E080.hgt,"(3357,751)",way/102550226,canal,750.3,0.6
CHN_SEG_00006,12.819932,80.047215,street,40.0,0.064784,0.2032,way/35460462,residential,N12E080.hgt,"(648,170)",way/32253705,drain,1778.1,0.6
CHN_SEG_00007,13.00595,80.203888,street,11.0,0.036396,0.6754,way/23641229,residential,N13E080.hgt,"(3579,734)",way/32742657,stream,326.1,0.6
CHN_SEG_00008,12.980105,80.188613,street,16.0,0.033187,0.4604,way/184301031,residential,N12E080.hgt,"(72,679)",way/328358961,drain,595.6,0.6
CHN_SEG_00009,12.977496,80.217683,street,7.0,0.051343,0.7462,way/232405626,residential,N12E080.hgt,"(81,784)",way/103716694,canal,383.9,0.6
CHN_SEG_00010,12.969357,80.264128,main,4.0,0.023187,1.0187,way/132064401,residential,N12E080.hgt,"(110,951)",way/731551448,canal,1295.6,1.2
CHN_SEG_00011,13.063201,80.275753,street_limited,13.0,0.036397,0.5149,way/23901203,residential,N13E080.hgt,"(3372,993)",way/1492152598,canal,543.1,0.6
CHN_SEG_00012,13.183086,80.302186,street,4.0,0.036401,0.5891,way/30740712,primary,N13E080.hgt,"(2941,1088)",way/822593959,canal,435.4,0.6
CHN_SEG_00013,12.977235,80.255298,street,5.0,0.046375,0.9069,way/30281994,residential,N12E080.hgt,"(82,919)",way/731551448,canal,187.1,0.6
CHN_SEG_00014,12.968709,80.225094,minor_rail,0.0,0.016196,0.4466,way/1324152256,tertiary,N12E080.hgt,"(113,810)",way/835785682,drain,333.0,0.6
CHN_SEG_00015,13.044869,80.206908,street_limited,10.0,0.023191,0.3857,way/206654151,residential,N13E080.hgt,"(3438,745)",way/25460321,canal,594.0,0.6
CHN_SEG_00016,12.982131,80.254357,main,10.0,0.105265,9.4906,way/55556333,secondary,N12E080.hgt,"(64,916)",way/731551448,canal,115.4,1.2
CHN_SEG_00017,12.980288,80.206506,street,6.0,0.052349,0.9309,way/27360404,residential,N12E080.hgt,"(71,743)",way/1080320417,drain,214.7,0.6
CHN_SEG_00018,12.992619,80.088148,motorway,22.0,0.03693,9.8099,way/1074833607,motorway,N12E080.hgt,"(27,317)",way/1150294710,drain,283.6,1.6
CHN_SEG_00019,12.981911,80.206337,street,5.0,0.069562,0.8714,way/27274198,residential,N12E080.hgt,"(65,743)",way/1080320417,drain,381.3,0.6
CHN_SEG_00020,12.935509,80.2158,street,2.0,0.023185,0.288,way/208378452,residential,N12E080.hgt,"(232,777)",node/12533056800,storm_drain,827.5,0.6
CHN_SEG_00021,13.023206,80.260056,street,5.0,0.016196,0.4946,way/24338812,residential,N13E080.hgt,"(3516,936)",way/1492152598,canal,251.4,0.6
CHN_SEG_00022,13.021601,80.225807,path,11.0,0.036396,0.1032,way/29882115,residential,N13E080.hgt,"(3522,813)",way/178105900,river,350.4,0.3
CHN_SEG_00023,13.036606,80.22232,street_limited,13.0,0.036397,0.2602,way/27201937,living_street,N13E080.hgt,"(3468,800)",way/214162276,canal,1089.0,0.6
CHN_SEG_00024,12.936793,80.098051,main,12.0,0.036923,4.1296,way/723505561,residential,N12E080.hgt,"(228,353)",way/202471872,river,362.0,1.2
CHN_SEG_00025,12.915596,80.07496,street,16.0,0.046369,0.9987,way/1075043301,motorway,N12E080.hgt,"(304,270)",way/383861897,stream,110.0,0.6
CHN_SEG_00026,13.034186,80.262269,street,14.0,0.02319,0.6128,way/23929775,residential,N13E080.hgt,"(3477,944)",way/1492152598,canal,223.6,0.6
CHN_SEG_00027,13.039818,80.124243,street,16.0,0.046381,0.365,way/33631901,residential,N13E080.hgt,"(3457,447)",way/102575799,drain,915.2,0.6
CHN_SEG_00028,13.142251,80.250025,main,10.0,0.0,0.3527,way/26482361,residential,N13E080.hgt,"(3088,900)",way/102550225,drain,609.4,1.2
CHN_SEG_00029,13.027267,80.198406,street,9.0,0.066387,1.0366,way/692228397,service,N13E080.hgt,"(3502,714)",way/178105900,river,223.8,0.6
CHN_SEG_00030,13.029668,80.209054,street,15.0,0.02319,0.5307,way/28078481,primary,N13E080.hgt,"(3493,753)",way/178105900,river,338.7,0.6
CHN_SEG_00031,12.978132,80.255129,street,7.0,0.092749,1.339,way/30312527,residential,N12E080.hgt,"(79,918)",way/731551448,canal,152.7,0.6
CHN_SEG_00032,13.064935,80.216672,street,10.0,0.082276,1.463,way/102661702,residential,N13E080.hgt,"(3366,780)",way/1281940340,canal,33.9,0.6
CHN_SEG_00033,12.966119,80.249298,street,5.0,0.046373,0.8472,way/132065405,residential,N12E080.hgt,"(122,897)",way/731551448,canal,241.7,0.6
CHN_SEG_00034,13.033753,80.266322,street,12.0,0.066876,1.2777,way/24270449,residential,N13E080.hgt,"(3478,959)",way/1492152598,canal,59.4,0.6
CHN_SEG_00035,12.822934,80.046558,street,35.0,0.02318,0.1215,way/188574979,residential,N12E080.hgt,"(637,168)",way/32253705,drain,1519.6,0.6
CHN_SEG_00036,12.96598,80.215041,street,0.0,0.016196,0.5099,way/206634200,residential,N12E080.hgt,"(122,774)",way/209551269,river,227.1,0.6
CHN_SEG_00037,13.086351,80.224166,street,13.0,0.033201,0.5668,way/23970148,residential,N13E080.hgt,"(3289,807)",way/27708880,drain,429.6,0.6
CHN_SEG_00038,13.056122,80.234728,street,13.0,0.023191,0.2489,way/28621092,secondary,N13E080.hgt,"(3398,845)",way/27709103,canal,944.5,0.6
CHN_SEG_00039,12.979676,80.209395,street,5.0,0.023187,0.4719,way/27370209,residential,N12E080.hgt,"(73,754)",way/1080320417,drain,432.5,0.6
CHN_SEG_00040,13.062359,80.21245,street_limited,10.0,0.023191,0.7257,way/33560152,residential,N13E080.hgt,"(3376,765)",way/1284526465,canal,88.3,0.6
CHN_SEG_00041,13.07669,80.249038,street_limited,7.0,0.023192,0.6392,way/112716562,living_street,N13E080.hgt,"(3324,897)",way/217696076,drain,189.8,0.6
CHN_SEG_00042,12.952702,80.170318,service,12.0,0.016196,0.0714,way/190695309,service,N12E080.hgt,"(170,613)",way/82874921,drain,1185.6,0.45
CHN_SEG_00043,13.090393,80.216326,street,16.0,0.05941,0.8446,way/24240078,residential,N13E080.hgt,"(3275,779)",way/27708880,drain,343.2,0.6
CHN_SEG_00044,13.024573,80.260982,street,10.0,0.046379,0.9037,way/24338792,residential,N13E080.hgt,"(3512,940)",way/1492152598,canal,190.0,0.6
CHN_SEG_00045,13.012873,80.240693,street,10.0,0.052355,0.4925,way/207147904,service,N13E080.hgt,"(3554,866)",way/178105900,river,724.1,0.6
CHN_SEG_00046,13.044568,80.113034,street,23.0,0.036936,0.1749,way/31961786,residential,N13E080.hgt,"(3440,407)",way/102575799,drain,1412.9,0.6
CHN_SEG_00047,13.01431,80.160941,street,15.0,0.072792,1.3156,way/249673652,residential,N13E080.hgt,"(3548,579)",way/102657796,drain,69.9,0.6
CHN_SEG_00048,12.924258,80.091353,street,16.0,0.016196,0.4118,way/208174923,residential,N12E080.hgt,"(273,329)",way/645720480,drain,398.1,0.6
CHN_SEG_00049,12.972732,80.258745,street,7.0,0.0,0.0525,way/30312148,residential,N12E080.hgt,"(98,931)",way/731551448,canal,654.4,0.6
CHN_SEG_00050,12.965058,80.190504,street,11.0,0.023187,0.3056,way/927624557,residential,N12E080.hgt,"(126,686)",way/927624558,drain,780.2,0.6
CHN_SEG_00051,13.082422,80.235973,street_limited,11.0,0.073881,0.8984,way/30923370,residential,N13E080.hgt,"(3303,850)",way/27708880,drain,380.9,0.6
CHN_SEG_00052,13.059464,80.217994,street_limited,12.0,0.023191,0.594,way/33560370,residential,N13E080.hgt,"(3386,785)",way/1284526465,canal,248.6,0.6
